Date,Stock,Tail,Fallback,Reason
2021-03-22,SBIN.NS,lower,True,sparse
2021-04-07,INFY.NS,upper,True,invalid
2021-04-07,INFY.NS,lower,False,
2021-04-07,SBIN.NS,upper,False,
2021-04-07,SBIN.NS,lower,True,sparse
2021-04-23,INFY.NS,upper,True,invalid
2021-04-23,INFY.NS,lower,False,
2021-04-23,SBIN.NS,upper,False,
2021-04-23,SBIN.NS,lower,True,sparse
2021-05-07,INFY.NS,upper,True,sparse
2021-05-07,INFY.NS,lower,False,
2021-05-07,SBIN.NS,upper,False,
2021-05-07,SBIN.NS,lower,True,sparse
2021-05-24,INFY.NS,upper,False,
2021-05-24,INFY.NS,lower,False,
2021-05-24,SBIN.NS,upper,False,
2021-05-24,SBIN.NS,lower,True,sparse
2021-06-07,INFY.NS,upper,False,
2021-06-07,INFY.NS,lower,False,
2021-06-07,SBIN.NS,upper,False,
2021-06-07,SBIN.NS,lower,True,sparse
2021-06-21,INFY.NS,upper,True,sparse
2021-06-21,INFY.NS,lower,False,
2021-06-21,SBIN.NS,upper,False,
2021-06-21,SBIN.NS,lower,False,
2021-07-05,INFY.NS,upper,False,
2021-07-05,INFY.NS,lower,False,
2021-07-05,SBIN.NS,upper,False,
2021-07-05,SBIN.NS,lower,False,
2021-07-19,INFY.NS,upper,False,
2021-07-19,INFY.NS,lower,False,
2021-07-19,SBIN.NS,upper,False,
2021-07-19,SBIN.NS,lower,False,
2021-08-03,INFY.NS,upper,False,
2021-08-03,INFY.NS,lower,False,
2021-08-03,SBIN.NS,upper,False,
2021-08-03,SBIN.NS,lower,True,sparse
2021-08-17,INFY.NS,upper,False,
2021-08-17,INFY.NS,lower,False,
2021-08-17,SBIN.NS,upper,False,
2021-08-17,SBIN.NS,lower,True,sparse
2021-09-01,INFY.NS,upper,False,
2021-09-01,INFY.NS,lower,False,
2021-09-01,SBIN.NS,upper,False,
2021-09-01,SBIN.NS,lower,False,
2021-09-16,INFY.NS,upper,False,
2021-09-16,INFY.NS,lower,False,
2021-09-16,SBIN.NS,upper,False,
2021-09-16,SBIN.NS,lower,False,
2021-09-30,INFY.NS,upper,True,sparse
2021-09-30,INFY.NS,lower,False,
2021-09-30,SBIN.NS,upper,False,
2021-09-30,SBIN.NS,lower,True,sparse
2021-10-14,INFY.NS,upper,True,sparse
2021-10-14,INFY.NS,lower,False,
2021-10-14,SBIN.NS,upper,False,
2021-10-14,SBIN.NS,lower,True,sparse
2021-10-29,INFY.NS,upper,False,
2021-10-29,INFY.NS,lower,False,
2021-10-29,SBIN.NS,upper,False,
2021-10-29,SBIN.NS,lower,True,sparse
2021-11-15,INFY.NS,upper,False,
2021-11-15,INFY.NS,lower,False,
2021-11-15,SBIN.NS,upper,True,invalid
2021-11-15,SBIN.NS,lower,True,sparse
2021-11-30,INFY.NS,upper,True,invalid
2021-11-30,INFY.NS,lower,False,
2021-11-30,SBIN.NS,upper,False,
2021-11-30,SBIN.NS,lower,False,
2021-12-14,INFY.NS,upper,True,sparse
2021-12-14,INFY.NS,lower,False,
2021-12-14,SBIN.NS,upper,False,
2021-12-14,SBIN.NS,lower,False,
2021-12-28,INFY.NS,upper,False,
2021-12-28,INFY.NS,lower,False,
2021-12-28,SBIN.NS,upper,False,
2021-12-28,SBIN.NS,lower,False,
2022-01-11,INFY.NS,upper,False,
2022-01-11,INFY.NS,lower,False,
2022-01-11,SBIN.NS,upper,False,
2022-01-11,SBIN.NS,lower,False,
2022-01-25,INFY.NS,upper,False,
2022-01-25,INFY.NS,lower,False,
2022-01-25,SBIN.NS,upper,False,
2022-01-25,SBIN.NS,lower,False,
2022-02-09,INFY.NS,upper,False,
2022-02-09,INFY.NS,lower,False,
